__run_id,__done,subject,treatment,iterations,total_cpu_energy,average_cpu_usage,used_memory,used_swap,eb_time,eb_time_subtraction,profiler_time
run_4_repetition_5,DONE,Sherlock,Default Loop,100000,165776.357,8.817125,2200915968,524288,201,201,0.512505531
run_7_repetition_6,DONE,Sherlock,Loop Unrolling,10000000,2050940.334,13.03525,4712820736,524288,6968,7004,7.429335117
run_3_repetition_8,DONE,CogVideo,Loop Unswitching,10000000,9921601.936,12.574125,3087601664,524288,35028,35213,35.62685299
run_2_repetition_10,DONE,CogVideo,Loop Unswitching,100000,280151.464,8.522625,1872826368,524288,599,601,1.032342434
run_1_repetition_0,DONE,CogVideo,Default Loop,10000000,4555319.997,12.505,3095449600,524288,15723,15807,16.21799016
run_5_repetition_10,DONE,Sherlock,Default Loop,10000000,2202489.742,12.530125,4758757376,524288,7365,7404,7.814664364
run_0_repetition_4,DONE,CogVideo,Default Loop,100000,226595.55,8.034875,1895940096,524288,400,401,0.825867653
run_1_repetition_14,DONE,CogVideo,Default Loop,10000000,4833054.746,12.466125,3094024192,524288,16521,16608,17.01617169
run_1_repetition_13,DONE,CogVideo,Default Loop,10000000,4684949.845,12.462875,3093864448,524288,15901,16007,16.4116497
run_6_repetition_10,DONE,Sherlock,Loop Unrolling,100000,172028.094,8.38925,1903943680,524288,201,201,0.616077185
run_6_repetition_0,DONE,Sherlock,Loop Unrolling,100000,172465.356,8.42575,1906024448,524288,201,201,0.608093023
run_6_repetition_7,DONE,Sherlock,Loop Unrolling,100000,172908.745,10.222125,1904128000,524288,201,201,0.621219158
run_4_repetition_13,DONE,Sherlock,Default Loop,100000,173352.167,8.059375,1902751744,524288,201,200,0.609192133
run_4_repetition_7,DONE,Sherlock,Default Loop,100000,173792.729,7.948625,1906012160,524288,201,200,0.618521452
run_2_repetition_12,DONE,CogVideo,Loop Unswitching,100000,290393.062,8.998125,1884024832,524288,599,601,1.005109787
run_5_repetition_2,DONE,Sherlock,Default Loop,10000000,2271867.86,12.297,4764372992,524288,7364,7404,7.811787844
run_7_repetition_10,DONE,Sherlock,Loop Unrolling,10000000,2221184.062,12.693375,4747227136,524288,7166,7204,7.625748396
run_6_repetition_8,DONE,Sherlock,Loop Unrolling,100000,175870.509,7.97125,1900224512,524288,201,201,0.60436058
run_7_repetition_0,DONE,Sherlock,Loop Unrolling,10000000,2175434.296,12.39225,4706058240,524288,6967,7003,7.407289267
run_6_repetition_4,DONE,Sherlock,Loop Unrolling,100000,176903.545,7.848,1915899904,524288,200,201,0.627727509
run_4_repetition_12,DONE,Sherlock,Default Loop,100000,177344.01,8.723,1921966080,524288,201,201,0.632038832
run_5_repetition_14,DONE,Sherlock,Default Loop,10000000,2312252.227,12.78975,4778790912,524288,7365,7404,7.804335117
run_2_repetition_4,DONE,CogVideo,Loop Unswitching,100000,297324.629,8.5,1880727552,524288,598,601,1.035261154
run_3_repetition_5,DONE,CogVideo,Loop Unswitching,10000000,10575372.72,12.576375,3087966208,524288,34803,35015,35.41855478
run_3_repetition_10,DONE,CogVideo,Loop Unswitching,10000000,13126659.39,25.37225,3262439424,524288,42979,43235,43.74488473
