__run_id,__done,run_number,code snippet,loop optimization,number of iterations,execution_time [s],cpu_usage [avg %],memory_usage [MB],energy_usage [J]
run_1,,r1,Sherlock,unrolling,50,,,,
run_2,,r1,Sherlock,unrolling,50,,,,
run_3,,r1,Sherlock,unrolling,50,,,,
run_4,,r1,Sherlock,unrolling,50,,,,
run_5,,r1,Sherlock,unrolling,50,,,,
run_6,,r1,Sherlock,unrolling,50,,,,
run_7,,r1,Sherlock,unrolling,50,,,,
run_8,,r1,Sherlock,unrolling,50,,,,
run_9,,r1,Sherlock,unrolling,50,,,,
run_10,,r1,Sherlock,unrolling,50,,,,
run_11,,r1,Sherlock,unrolling,50,,,,
run_12,,r1,Sherlock,unrolling,50,,,,
run_13,,r1,Sherlock,unrolling,50,,,,
run_14,,r1,Sherlock,unrolling,50,,,,
run_15,,r1,Sherlock,unrolling,50,,,,
run_16,,r1,Sherlock,unrolling,50,,,,
run_17,,r2,Sherlock,none,50,,,,
run_18,,r2,Sherlock,none,50,,,,
run_19,,r2,Sherlock,none,50,,,,
run_20,,r2,Sherlock,none,50,,,,
run_21,,r2,Sherlock,none,50,,,,
run_22,,r2,Sherlock,none,50,,,,
run_23,,r2,Sherlock,none,50,,,,
run_24,,r2,Sherlock,none,50,,,,
run_25,,r2,Sherlock,none,50,,,,
run_26,,r2,Sherlock,none,50,,,,
run_27,,r2,Sherlock,none,50,,,,
run_28,,r2,Sherlock,none,50,,,,
run_29,,r2,Sherlock,none,50,,,,
run_30,,r2,Sherlock,none,50,,,,
run_31,,r2,Sherlock,none,50,,,,
run_32,,r2,Sherlock,none,50,,,,
run_33,,r3,Sherlock,unrolling,10000,,,,
run_34,,r3,Sherlock,unrolling,10000,,,,
run_35,,r3,Sherlock,unrolling,10000,,,,
run_36,,r3,Sherlock,unrolling,10000,,,,
run_37,,r3,Sherlock,unrolling,10000,,,,
run_38,,r3,Sherlock,unrolling,10000,,,,
run_39,,r3,Sherlock,unrolling,10000,,,,
