__run_id,__done,subject,treatment,iterations,total_cpu_energy,average_cpu_usage,used_memory,used_swap
run_4_repetition_7,DONE,Sherlock,Default Loop,50,44376.349,6.399374999999999,2169724928,524288
run_3_repetition_6,DONE,CogVideo,Loop Unswitching,10000,44813.716,7.444375000000001,2173198336,524288
run_3_repetition_7,DONE,CogVideo,Loop Unswitching,10000,45250.999,7.732625,2170376192,524288
run_5_repetition_13,DONE,Sherlock,Default Loop,10000,45691.718,6.511750000000001,2170580992,524288
run_6_repetition_11,DONE,Sherlock,Loop Unrolling,50,46130.303,6.3035,2162159616,524288
run_1_repetition_10,DONE,CogVideo,Default Loop,10000,46567.903,7.408499999999999,2171756544,524288
run_3_repetition_2,DONE,CogVideo,Loop Unswitching,10000,47006.007,8.118,2174185472,524288
run_7_repetition_14,DONE,Sherlock,Loop Unrolling,10000,47450.595,7.585375,2180743168,524288
run_2_repetition_9,DONE,CogVideo,Loop Unswitching,50,47889.335,6.985125,2178080768,524288
run_6_repetition_13,DONE,Sherlock,Loop Unrolling,50,48328.899,6.721125000000001,2175934464,524288
run_4_repetition_0,DONE,Sherlock,Default Loop,50,48768.697,6.530499999999999,2173853696,524288
run_0_repetition_14,DONE,CogVideo,Default Loop,50,49207.444,7.27475,2183823360,524288
run_5_repetition_2,DONE,Sherlock,Default Loop,10000,49649.12,6.026625,2174619648,524288
run_6_repetition_0,DONE,Sherlock,Loop Unrolling,50,50086.523,6.758375000000001,2170064896,524288
run_4_repetition_1,DONE,Sherlock,Default Loop,50,50525.728,7.218125000000001,2176102400,524288
run_0_repetition_8,DONE,CogVideo,Default Loop,50,50972.232,8.263625000000001,2170871808,524288
run_3_repetition_9,DONE,CogVideo,Loop Unswitching,10000,51409.887,9.003250000000001,2171330560,524288
run_2_repetition_14,DONE,CogVideo,Loop Unswitching,50,51856.294,7.405875,2163134464,524288
run_2_repetition_13,DONE,CogVideo,Loop Unswitching,50,52294.17,6.926999999999999,2168406016,524288
run_6_repetition_12,DONE,Sherlock,Loop Unrolling,50,52733.512,6.38225,2162515968,524288
run_2_repetition_12,DONE,CogVideo,Loop Unswitching,50,53172.503,6.8895,2172329984,524288
run_1_repetition_2,DONE,CogVideo,Default Loop,10000,53611.236,8.496875,2179653632,524288
run_7_repetition_5,DONE,Sherlock,Loop Unrolling,10000,54052.902,8.696,2171080704,524288
run_0_repetition_3,DONE,CogVideo,Default Loop,50,54488.995,7.739624999999999,2166468608,524288
run_4_repetition_3,DONE,Sherlock,Default Loop,50,54927.365,7.458874999999999,2166161408,524288
run_3_repetition_3,DONE,CogVideo,Loop Unswitching,10000,55365.2,7.9085,2171633664,524288
run_1_repetition_8,DONE,CogVideo,Default Loop,10000,55802.795,7.598125,2166747136,524288
run_1_repetition_9,DONE,CogVideo,Default Loop,10000,56239.969,7.6708750000000006,2164453376,524288
run_6_repetition_7,DONE,Sherlock,Loop Unrolling,50,56676.731,7.15775,2171457536,524288
run_5_repetition_7,DONE,Sherlock,Default Loop,10000,57128.306,6.757375000000001,2178105344,524288
run_3_repetition_1,DONE,CogVideo,Loop Unswitching,10000,57565.47,8.09675,2175852544,524288
run_0_repetition_7,DONE,CogVideo,Default Loop,50,58004.166,7.61925,2167115776,524288
run_7_repetition_4,DONE,Sherlock,Loop Unrolling,10000,58443.203,6.9990000000000006,2183643136,524288
run_7_repetition_6,DONE,Sherlock,Loop Unrolling,10000,58881.795,6.25625,2175295488,524288
run_6_repetition_6,DONE,Sherlock,Loop Unrolling,50,59316.947,6.8512499999999985,2163048448,524288
run_1_repetition_0,DONE,CogVideo,Default Loop,10000,59751.401,8.318125,2175705088,524288
run_2_repetition_4,DONE,CogVideo,Loop Unswitching,50,60187.593,8.220125,2164568064,524288
run_2_repetition_11,DONE,CogVideo,Loop Unswitching,50,60625.135,6.469125,2167619584,524288
run_4_repetition_8,DONE,Sherlock,Default Loop,50,61063.328,7.09525,2163953664,524288
run_5_repetition_11,DONE,Sherlock,Default Loop,10000,61504.659,6.183375,2177318912,524288
run_4_repetition_9,DONE,Sherlock,Default Loop,50,61939.304,6.368375,2166935552,524288
run_1_repetition_15,DONE,CogVideo,Default Loop,10000,62375.492,7.387875,2170728448,524288
run_7_repetition_15,DONE,Sherlock,Loop Unrolling,10000,62815.531,6.849125000000001,2177298432,524288
run_5_repetition_5,DONE,Sherlock,Default Loop,10000,63254.124,6.791625000000001,2169004032,524288
run_6_repetition_5,DONE,Sherlock,Loop Unrolling,50,63691.014,6.628125,2157015040,524288
run_2_repetition_7,DONE,CogVideo,Loop Unswitching,50,64126.684,6.729499999999999,2164494336,524288
run_0_repetition_5,DONE,CogVideo,Default Loop,50,64564.609,7.166250000000001,2160762880,524288
run_5_repetition_0,DONE,Sherlock,Default Loop,10000,65004.311,7.42925,2163720192,524288
run_2_repetition_1,DONE,CogVideo,Loop Unswitching,50,65439.86,7.3187500000000005,2164629504,524288
run_3_repetition_4,DONE,CogVideo,Loop Unswitching,10000,65877.98,8.12275,2157322240,524288
run_5_repetition_9,DONE,Sherlock,Default Loop,10000,66318.757,7.618625,2169708544,524288
run_4_repetition_12,DONE,Sherlock,Default Loop,50,66757.462,6.15825,2157993984,524288
run_4_repetition_2,DONE,Sherlock,Default Loop,50,67194.68,6.906625,2163499008,524288
run_2_repetition_6,DONE,CogVideo,Loop Unswitching,50,67632.537,6.637874999999999,2162737152,524288
run_7_repetition_13,DONE,Sherlock,Loop Unrolling,10000,68075.555,6.338375,2168459264,524288
run_2_repetition_3,DONE,CogVideo,Loop Unswitching,50,68514.555,6.980875,2163097600,524288
run_2_repetition_0,DONE,CogVideo,Loop Unswitching,50,68953.528,6.845999999999999,2165321728,524288
run_1_repetition_6,DONE,CogVideo,Default Loop,10000,69392.573,7.689750000000001,2175053824,524288
run_4_repetition_10,DONE,Sherlock,Default Loop,50,69833.543,7.095625,2169413632,524288
run_0_repetition_13,DONE,CogVideo,Default Loop,50,70272.59,7.066999999999999,2174410752,524288
run_6_repetition_10,DONE,Sherlock,Loop Unrolling,50,70712.38,6.424625,2163675136,524288
run_6_repetition_15,DONE,Sherlock,Loop Unrolling,50,71152.947,7.763875,2170482688,524288
run_6_repetition_14,DONE,Sherlock,Loop Unrolling,50,71593.105,6.842375,2170511360,524288
run_4_repetition_4,DONE,Sherlock,Default Loop,50,72031.675,7.102875,2162651136,524288
run_0_repetition_4,DONE,CogVideo,Default Loop,50,72471.919,7.114249999999999,2165272576,524288
run_1_repetition_14,DONE,CogVideo,Default Loop,10000,72910.903,7.810625000000001,2172211200,524288
run_6_repetition_2,DONE,Sherlock,Loop Unrolling,50,73350.546,6.31825,2173890560,524288
run_5_repetition_8,DONE,Sherlock,Default Loop,10000,73793.073,7.4506250000000005,2180726784,524288
run_0_repetition_12,DONE,CogVideo,Default Loop,50,74231.418,8.054625000000001,2174783488,524288
run_3_repetition_11,DONE,CogVideo,Loop Unswitching,10000,74671.989,7.331249999999999,2176405504,524288
run_5_repetition_12,DONE,Sherlock,Default Loop,10000,75115.289,6.93875,2177798144,524288
run_7_repetition_12,DONE,Sherlock,Loop Unrolling,10000,75559.119,6.558875,2169589760,524288
run_4_repetition_11,DONE,Sherlock,Default Loop,50,75997.675,6.76375,2160693248,524288
run_0_repetition_11,DONE,CogVideo,Default Loop,50,76436.373,7.037375,2167373824,524288
run_2_repetition_15,DONE,CogVideo,Loop Unswitching,50,76877.433,7.4331249999999995,2174939136,524288
run_1_repetition_4,DONE,CogVideo,Default Loop,10000,77316.087,7.951124999999999,2175942656,524288
run_4_repetition_6,DONE,Sherlock,Default Loop,50,77755.781,6.287375,2170707968,524288
run_1_repetition_12,DONE,CogVideo,Default Loop,10000,78194.832,7.460375000000001,2174484480,524288
run_4_repetition_5,DONE,Sherlock,Default Loop,50,78633.235,6.6425,2174218240,524288
run_5_repetition_1,DONE,Sherlock,Default Loop,10000,79074.12,7.165374999999999,2174840832,524288
run_2_repetition_2,DONE,CogVideo,Loop Unswitching,50,79509.858,6.76525,2173243392,524288
run_0_repetition_9,DONE,CogVideo,Default Loop,50,79948.066,7.4505,2172858368,524288
run_6_repetition_4,DONE,Sherlock,Loop Unrolling,50,80386.595,6.9825,2183024640,524288
run_7_repetition_10,DONE,Sherlock,Loop Unrolling,10000,80828.415,6.681124999999999,2171637760,524288
run_7_repetition_3,DONE,Sherlock,Loop Unrolling,10000,81268.974,6.893,2168561664,524288
run_3_repetition_14,DONE,CogVideo,Loop Unswitching,10000,81706.816,8.680125,2166063104,524288
run_1_repetition_1,DONE,CogVideo,Default Loop,10000,82147.22,6.906375000000001,2162589696,524288
run_3_repetition_5,DONE,CogVideo,Loop Unswitching,10000,82587.241,7.76575,2161303552,524288
run_3_repetition_8,DONE,CogVideo,Loop Unswitching,10000,83027.765,7.337,2168123392,524288
run_4_repetition_15,DONE,Sherlock,Default Loop,50,83468.25,6.289,2168139776,524288
run_5_repetition_14,DONE,Sherlock,Default Loop,10000,83910.832,6.8683749999999995,2169274368,524288
run_2_repetition_10,DONE,CogVideo,Loop Unswitching,50,84372.573,7.355625,2176843776,524288
run_0_repetition_1,DONE,CogVideo,Default Loop,50,84812.871,7.219250000000001,2178781184,524288
run_5_repetition_6,DONE,Sherlock,Default Loop,10000,85256.901,7.301875,2173288448,524288
run_7_repetition_9,DONE,Sherlock,Loop Unrolling,10000,85697.794,7.47275,2171801600,524288
run_4_repetition_13,DONE,Sherlock,Default Loop,50,86135.513,6.509625000000001,2161811456,524288
run_1_repetition_3,DONE,CogVideo,Default Loop,10000,86576.594,7.167625,2160525312,524288
run_2_repetition_8,DONE,CogVideo,Loop Unswitching,50,87013.358,6.560500000000001,2173919232,524288
run_7_repetition_7,DONE,Sherlock,Loop Unrolling,10000,87454.534,7.148000000000001,2170560512,524288
run_3_repetition_13,DONE,CogVideo,Loop Unswitching,10000,87894.601,7.089999999999999,2163585024,524288
run_1_repetition_5,DONE,CogVideo,Default Loop,10000,88334.184,7.673,2176794624,524288
run_4_repetition_14,DONE,Sherlock,Default Loop,50,88774.673,6.85275,2160009216,524288
run_5_repetition_15,DONE,Sherlock,Default Loop,10000,89217.396,6.9425,2172985344,524288
run_0_repetition_10,DONE,CogVideo,Default Loop,50,89654.445,7.941,2162208768,524288
run_2_repetition_5,DONE,CogVideo,Loop Unswitching,50,90095.203,6.8195,2158415872,524288
run_1_repetition_11,DONE,CogVideo,Default Loop,10000,90535.646,8.043875,2169118720,524288
run_7_repetition_8,DONE,Sherlock,Loop Unrolling,10000,90980.261,7.1915,2167283712,524288
run_3_repetition_0,DONE,CogVideo,Loop Unswitching,10000,91419.93,8.77925,2169192448,524288
run_0_repetition_2,DONE,CogVideo,Default Loop,50,91857.737,6.670999999999999,2170785792,524288
run_6_repetition_9,DONE,Sherlock,Loop Unrolling,50,92295.808,8.7235,2169085952,524288
